TIMING;ISIN;OPENING;HIGH;LOW;CLOSING;VOLUME
2020-01-01;FR0000130007;0.0;0.0;0.0;3.5;0
2020-05-04;FR0000130007;0.0;0.0;0.0;3.5;0
